INFO | 2016-11-07 17:50:13,645 | index | root | Index - /
ERROR | 2016-11-07 17:50:13,933 | index | page_not_found | 404: Not Found
ERROR | 2016-11-07 17:50:18,217 | index | page_not_found | 404: Not Found
ERROR | 2016-11-07 17:50:24,600 | index | page_not_found | 404: Not Found
ERROR | 2016-11-07 17:50:27,888 | index | page_not_found | 404: Not Found
ERROR | 2016-11-07 17:50:30,207 | index | page_not_found | 404: Not Found
INFO | 2016-11-07 17:56:21,636 | index | root | Index - /
ERROR | 2016-11-07 17:56:22,129 | index | page_not_found | 404: Not Found
ERROR | 2016-11-07 17:56:51,246 | index | page_not_found | 404: Not Found
ERROR | 2016-11-07 17:56:51,356 | index | page_not_found | 404: Not Found
INFO | 2016-11-07 17:57:16,633 | index | root | Index - /
INFO | 2016-11-14 17:49:55,800 | index | root | Index - /
ERROR | 2016-11-14 17:49:57,443 | index | page_not_found | 404: Not Found
INFO | 2016-11-14 17:53:07,798 | index | root | Index - /
INFO | 2016-11-14 17:53:13,553 | index | root | Index - /
INFO | 2016-11-14 17:53:14,572 | index | root | Index - /
INFO | 2016-11-14 17:53:37,733 | index | root | Index - /
INFO | 2016-11-14 17:54:20,399 | index | root | Index - /
INFO | 2016-11-14 17:54:22,694 | index | root | Index - /
INFO | 2016-11-14 17:54:23,400 | index | root | Index - /
INFO | 2016-11-14 17:54:23,652 | index | root | Index - /
INFO | 2016-11-14 17:54:23,913 | index | root | Index - /
INFO | 2016-11-14 17:54:24,128 | index | root | Index - /
INFO | 2016-11-14 17:54:24,425 | index | root | Index - /
INFO | 2016-11-14 17:55:05,846 | index | root | Index - /
INFO | 2016-11-14 18:04:15,405 | index | root | Index - /
INFO | 2016-11-14 18:06:27,066 | index | root | Index - /
INFO | 2016-11-14 18:07:24,450 | index | root | Index - /
INFO | 2016-11-14 18:07:56,312 | index | root | Index - /
INFO | 2016-11-14 18:09:09,112 | index | root | Index - /
ERROR | 2016-11-14 18:09:09,173 | index | root | expected token 'end of print statement', got 'rel'
INFO | 2016-11-14 18:09:11,811 | index | root | Index - /
ERROR | 2016-11-14 18:09:11,973 | index | root | expected token 'end of print statement', got 'rel'
INFO | 2016-11-14 18:09:38,183 | index | root | Index - /
ERROR | 2016-11-14 18:09:38,219 | index | root | expected token 'end of print statement', got 'rel'
INFO | 2016-11-14 18:10:26,111 | index | root | Index - /
ERROR | 2016-11-14 18:10:26,146 | index | root | expected token 'end of print statement', got 'rel'
INFO | 2016-11-14 18:10:55,172 | index | root | Index - /
ERROR | 2016-11-14 18:10:55,410 | index | root | expected token 'end of print statement', got 'rel'
INFO | 2016-11-14 18:11:41,500 | index | root | Index - /
ERROR | 2016-11-14 18:11:41,543 | index | root | expected token 'end of print statement', got 'string'
INFO | 2016-11-14 18:12:50,041 | index | root | Index - /
ERROR | 2016-11-14 18:12:50,233 | index | page_not_found | 404: Not Found
INFO | 2016-11-14 18:13:02,799 | index | root | Index - /
INFO | 2016-11-14 18:13:40,239 | index | root | Index - /
INFO | 2016-11-14 18:13:41,762 | index | root | Index - /
INFO | 2016-11-14 18:13:41,972 | index | root | Index - /
INFO | 2016-11-14 18:13:42,300 | index | root | Index - /
INFO | 2016-11-14 18:13:42,493 | index | root | Index - /
INFO | 2016-11-14 18:14:12,114 | index | root | Index - /
INFO | 2016-11-14 18:54:33,964 | index | root | Index - /
INFO | 2016-11-14 18:55:47,840 | index | root | Index - /
INFO | 2016-11-14 18:58:59,991 | index | root | Index - /
INFO | 2016-11-14 18:59:52,553 | index | root | Index - /
INFO | 2016-11-14 19:00:35,153 | index | root | Index - /
INFO | 2016-11-17 14:43:54,155 | index | root | Index - /
INFO | 2016-11-17 14:44:06,540 | index | root | Index - /
INFO | 2016-11-17 14:44:12,510 | index | root | Index - /
INFO | 2016-11-17 16:29:07,499 | index | root | Index - /
INFO | 2016-11-18 15:59:38,582 | index | root | Index - /
INFO | 2016-11-18 15:59:43,907 | index | root | Index - /
INFO | 2016-11-18 15:59:45,522 | index | root | Index - /
INFO | 2016-11-18 15:59:45,991 | index | root | Index - /
INFO | 2016-11-18 15:59:50,165 | index | root | Index - /
INFO | 2016-11-18 16:27:31,147 | index | root | Index - /
INFO | 2016-11-18 16:27:41,442 | index | movie | Movie Selected from db/movies
ERROR | 2016-11-18 16:27:41,468 | index | movie | global name 'db' is not defined
INFO | 2016-11-18 16:31:25,066 | index | movie | Movie Selected from db/movies
ERROR | 2016-11-18 16:31:25,081 | index | movie | global name 'db' is not defined
INFO | 2016-11-18 16:33:38,704 | index | movie | Movie Selected from db/movies
ERROR | 2016-11-18 16:33:38,736 | index | movie | global name 'db' is not defined
INFO | 2016-11-18 16:40:27,311 | index | movie | Select Movies Page/movies
ERROR | 2016-11-18 16:40:27,353 | index | movie | global name 'db' is not defined
INFO | 2016-11-18 16:45:22,929 | index | movie | Select Movies Page/movies
ERROR | 2016-11-18 16:45:22,981 | index | movie | 'sqlite3.Connection' object has no attribute 'exectue'
INFO | 2016-11-18 16:45:50,089 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 16:47:49,958 | index | root | Index - /
INFO | 2016-11-18 16:47:54,849 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 16:49:02,139 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 16:52:08,938 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 16:52:41,083 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 16:55:51,086 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 16:57:21,367 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 16:59:25,343 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:00:16,333 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:03:34,842 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:04:16,904 | index | movie | Select Movies Page/movies
ERROR | 2016-11-18 17:04:17,070 | index | movie | 'entry' is undefined
INFO | 2016-11-18 17:04:47,104 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:08:38,579 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:12:15,431 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:14:31,787 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:16:07,517 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:17:19,796 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 17:18:40,812 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:07:13,479 | index | movie | Select Movies Page/movies
ERROR | 2016-11-18 18:07:13,527 | index | movie | no such column: rowid
INFO | 2016-11-18 18:07:57,371 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:10:01,772 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:13:33,918 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:44:58,444 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:45:16,527 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:46:00,664 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:46:09,330 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:46:25,836 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:46:50,444 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:47:26,093 | index | movie | Select Movies Page/movies
INFO | 2016-11-18 18:48:03,247 | index | root | Index - /
INFO | 2016-11-20 14:39:12,132 | index | root | Index - /
INFO | 2016-11-20 14:39:19,263 | index | movie | Select Movies Page/movies
INFO | 2016-11-20 15:04:27,985 | index | movie | Select Movies Page/movies
INFO | 2016-11-20 15:07:52,832 | index | movie | Select Movies Page/movies
INFO | 2016-11-20 15:10:18,518 | index | movie | Select Movies Page/movies
INFO | 2016-11-20 15:40:50,854 | index | movie | Select Movies Page/movies
ERROR | 2016-11-20 15:40:50,999 | index | movie | 'post' is undefined
INFO | 2016-11-20 15:48:27,302 | index | movies | Select Movies Page/movies
ERROR | 2016-11-20 15:48:27,985 | index | movies | 'post' is undefined
INFO | 2016-11-20 15:48:59,012 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 15:58:53,943 | index | movies | Select Movies Page/movies
ERROR | 2016-11-20 15:58:54,607 | index | movies | 'post' is undefined
INFO | 2016-11-20 15:59:41,558 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:01:26,700 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:04:34,013 | index | movies | Select Movies Page/movies
ERROR | 2016-11-20 16:04:34,146 | index | movies | 'post' is undefined
INFO | 2016-11-20 16:05:19,672 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:10:49,725 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:11:29,997 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:12:05,154 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:12:08,123 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:19:40,169 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:20:07,669 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:22:21,306 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:22:23,685 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:25:46,736 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:27:50,404 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:28:00,127 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:30:10,642 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:30:13,317 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:38:44,465 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 16:53:49,143 | index | movies | Select Movies Page/movies
ERROR | 2016-11-20 16:55:15,438 | index | page_not_found | 404: Not Found
INFO | 2016-11-20 17:02:57,655 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 17:02:57,746 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 17:05:41,808 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 17:09:21,759 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 17:09:44,890 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 17:12:40,220 | index | movies | Select Movies Page/movies
INFO | 2016-11-20 17:15:33,796 | index | movies | Select Movies Page/movies
